Equipment,Operation,WO Type,Model Base,Problem Code,Failure Code,Cause Code,Action Code,Date,downtimeGross,pitHours,realDowntime,partsCost,repairHours,waitingHours
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC165,SEWA154,01/24/2024,0.92,0,0.92,$0.00,0.83,0.08
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF011,SEWC135,SEWA123,04/24/2024,1.42,1.08,0.34,$0.00,1.08,0.33
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF011,SEWC136,SEWA124,03/13/2024,8.67,0,8.67,$20.00,8.00,0.67
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF011,SEWC136,SEWA124,03/21/2024,1.67,1.58,0.09,$0.00,1.58,0.08
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF019,SEWC166,SEWA155,01/03/2024,5.92,0,5.92,$0.00,2.00,3.92
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF019,SEWC166,SEWA155,03/06/2024,1.17,0.67,0.50,$0.00,0.50,0.67
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF019,SEWC166,SEWA155,03/06/2024,1.00,0,1.00,$0.00,1.00,0.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF019,SEWC166,SEWA155,05/20/2024,1.33,1.17,0.16,$0.00,0.67,0.67
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF019,SEWC171,SEWA160,02/13/2024,0.83,0.5,0.33,$37.50,0.67,0.17
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF020,SEWC178,SEWA169,01/09/2024,0.25,0,0.25,$0.00,0.25,0.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF021,SEWC193,SEWA185,01/02/2024,0.33,0,0.33,$0.00,0.33,0.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP008,SEWF021,SEWC190,SEWA182,01/19/2024,2.67,0,2.67,$0.00,0.50,2.17
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP008,SEWF021,SEWC190,SEWA182,02/14/2024,2.00,0,2.00,$0.00,0.58,1.42
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP008,SEWF021,SEWC192,SEWA184,01/15/2024,0.17,0,0.17,$0.00,0.08,0.08
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP008,SEWF021,SEWC193,SEWA185,01/22/2024,0.75,0,0.75,$0.00,0.75,0.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP008,SEWF021,SEWC193,SEWA185,02/26/2024,0.25,0.25,0.00,$0.00,0.17,0.08
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP008,SEWF008,SEWC083,SEWA082,06/07/2024,2.00,2,0.00,$1.74,2.00,0.00
1011107,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP001,SEWF001,SEWC001,SEWA001,05/27/2024,0.08,0,0.08,$5.91,0.08,0.00
1011107,HEM BOTTOM,Corrective Maintenance,VC2700,SEWP001,SEWF103,SEWC098,SEWA098,05/31/2024,0.75,0.5,0.25,$0.00,0.25,0.50
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF001,SEWC001,SEWA001,02/13/2024,0.83,0.5,0.33,$0.00,0.83,0.00
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF001,SEWC002,SEWA002,01/30/2024,0.58,0,0.58,$0.00,0.58,0.00
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF001,SEWC013,SEWA012,01/31/2024,1.50,0,1.50,$0.00,0.42,1.08
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF001,SEWC013,SEWA012,05/14/2024,0.83,0.5,0.33,$0.00,0.50,0.33
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF001,SEWC013,SEWA012,05/14/2024,1.25,1,0.25,$0.00,1.00,0.25
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF001,SEWC013,SEWA012,05/24/2024,0.92,0,0.92,$0.00,0.58,0.33
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF001,SEWC014,SEWA003,05/13/2024,1.25,1,0.25,$20.00,1.00,0.25
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF002,SEWC042,SEWA042,03/01/2024,0.25,0,0.25,$5.00,0.25,0.00
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF002,SEWC253,SEWA245,04/04/2024,0.25,0,0.25,$0.00,0.25,0.00
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF006,SEWC067,SEWA064,01/02/2024,5.17,0,5.17,$0.00,5.17,0.00
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC008,SEWA083,01/05/2024,0.42,0,0.42,$0.00,0.42,0.00
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC082,SEWA083,01/08/2024,0.50,0,0.50,$25.00,0.25,0.25
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC082,SEWA083,02/08/2024,0.33,0,0.33,$0.00,0.33,0.00
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC082,SEWA083,04/01/2024,1.17,0,1.17,$0.00,1.00,0.17
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC082,SEWA083,04/17/2024,0.50,0,0.50,$0.00,0.50,0.00
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC082,SEWA083,04/18/2024,0.33,0,0.33,$0.00,0.33,0.00
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC082,SEWA083,05/31/2024,0.17,0,0.17,$0.00,0.17,0.00
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC084,SEWA083,03/05/2024,0.25,0,0.25,$82.83,0.25,0.00
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC012,SEWA011,05/15/2024,2.92,1,1.92,$0.00,2.33,0.58
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC013,SEWA003,05/23/2024,1.00,0,1.00,$0.00,1.00,0.00
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC013,SEWA003,06/06/2024,0.92,0,0.92,$0.00,0.92,0.00
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC017,SEWA013,02/02/2024,1.67,0,1.67,$0.00,1.00,0.67
1011117,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC017,SEWA013,03/05/2024,1.08,0,1.08,$0.00,1.00,0.08
