equipment,date,changed_pcs
1026566,1/18/2024,1
1026566,2/9/2024,3
1026566,2/12/2024,1
1026566,2/21/2024,1
1026566,3/4/2024,6
1026566,4/10/2024,2
1026566,4/29/2024,1
1026566,4/30/2024,2
1026566,5/2/2024,1
1026566,5/20/2024,1
1026566,5/29/2024,1
1026584,1/20/2023,0
1026584,1/20/2023,0
1026584,2/28/2023,2
1026584,2/28/2023,2
1026584,3/8/2023,1
1026584,3/8/2023,1
1026584,3/13/2023,0
1026584,3/13/2023,0
1026595,3/9/2023,1
1026595,3/9/2023,1
1026595,3/10/2023,1
1026595,3/10/2023,1
1026595,3/13/2023,0
1026595,3/13/2023,0
1026595,4/25/2023,1
1026595,4/25/2023,1
1026595,5/3/2023,1
1026595,5/3/2023,1
1026595,5/11/2023,1
1026595,5/11/2023,1
1026595,6/27/2023,0
1026595,6/27/2023,0
1026595,7/19/2023,0
1026595,7/19/2023,0
1026595,7/21/2023,0
1026595,7/21/2023,0
1026595,8/16/2023,0
1026595,8/16/2023,0
1026595,8/30/2023,0
1026595,8/30/2023,0
1026595,11/14/2023,1
1026595,11/14/2023,1
1026595,11/16/2023,0
1026595,11/16/2023,0
1026595,11/23/2023,0
1026595,11/23/2023,0
1026595,11/27/2023,0
1026595,11/27/2023,0
1026595,11/29/2023,1
1026595,11/29/2023,0
1026595,11/29/2023,1
1026595,11/29/2023,0
1026595,1/8/2024,0
1026595,1/23/2024,0
1026595,4/5/2024,0
1026595,5/13/2024,0
1026595,5/28/2024,0
1026595,6/3/2024,0
1026595,6/19/2024,0
1026595,6/24/2024,0
1026595,6/24/2024,0
1026596,2/8/2023,1
1026596,2/8/2023,1
1026596,2/9/2023,1
1026596,2/9/2023,1
1026596,2/23/2023,0
1026596,2/23/2023,0
1026596,6/19/2023,2
1026596,6/19/2023,2
1026596,6/23/2023,5
1026596,6/23/2023,5
1026596,6/28/2023,4
1026596,6/28/2023,0
1026596,6/28/2023,4
1026596,6/28/2023,0
1026596,6/29/2023,2
1026596,6/29/2023,2
1026596,9/28/2023,0
1026596,11/7/2023,0
1026602,2/2/2023,3
1026602,2/2/2023,3
1026602,2/10/2023,0
1026602,3/7/2023,1
1026602,3/7/2023,1
1026602,6/20/2023,1
1026602,6/20/2023,1
1026602,10/20/2023,3
1026602,10/20/2023,3
1026602,11/10/2023,1
1026602,11/10/2023,1
1026602,11/28/2023,1
1026602,11/28/2023,1
1026602,11/29/2023,2
1026602,11/29/2023,2
1026602,12/12/2023,1
1026602,12/12/2023,1
1026602,12/12/2023,1
1026602,12/12/2023,1
1026602,12/20/2023,1
1026602,12/20/2023,1
1026602,1/4/2024,1
1026602,1/17/2024,1
1026602,1/22/2024,1
1026602,1/30/2024,1
1026602,2/27/2024,0
1026602,2/29/2024,0
1026602,3/15/2024,0
1026602,3/19/2024,1
1026602,4/4/2024,0
1026602,4/5/2024,0
1026602,4/8/2024,1
1026607,5/31/2024,0
1026616,7/10/2023,4
1026616,7/10/2023,4
1026624,1/17/2023,1
1026624,1/17/2023,1
1026624,2/13/2023,2
1026624,2/13/2023,2
1026624,2/14/2023,1
1026624,2/14/2023,1
1026624,3/7/2023,1
1026624,3/7/2023,1
1026624,3/20/2023,0
1026624,3/20/2023,0
1026624,3/30/2023,1
1026624,3/30/2023,1
1026624,5/4/2023,1
1026624,5/4/2023,1
1026624,7/5/2023,1
1026624,7/5/2023,1
1026624,11/29/2023,0
1026624,11/29/2023,0
1026624,12/1/2023,0
1026624,12/1/2023,0
1026624,2/8/2024,1
1026624,2/9/2024,0
1026624,2/23/2024,1
1026625,2/9/2023,1
1026625,2/9/2023,1
1026625,2/17/2023,0
1026625,2/17/2023,0
1026625,2/20/2023,1
1026625,2/20/2023,1
1026625,3/14/2023,1
1026625,3/14/2023,1
1026625,5/23/2023,1
1026625,5/23/2023,1
1026625,6/7/2023,1
1026625,6/7/2023,1
1026625,8/15/2023,1
1026625,8/15/2023,1
1026625,12/7/2023,0
1026625,12/7/2023,0
1026625,1/2/2024,1
1026625,1/3/2024,1
1026625,1/12/2024,1
1026625,2/12/2024,1
1026625,2/20/2024,1
1026625,3/19/2024,1
1026625,4/4/2024,2
1026625,4/5/2024,2
1026625,4/8/2024,2
1026625,4/9/2024,2
1026625,4/11/2024,2
1026633,8/20/2023,0
1026633,8/20/2023,0
1026633,8/25/2023,1
1026633,8/25/2023,1
1026633,8/26/2023,1
1026633,8/26/2023,0
1026633,8/26/2023,0
1026633,8/26/2023,1
1026633,8/26/2023,0
1026633,8/26/2023,0
1026633,8/28/2023,0
1026633,8/28/2023,0
1026633,8/29/2023,1
1026633,8/29/2023,0
1026633,8/29/2023,1
1026633,8/29/2023,0
1026633,9/1/2023,0
1026633,9/1/2023,0
1026633,9/5/2023,1
1026633,9/5/2023,0
1026633,9/5/2023,1
1026633,9/5/2023,0
1026633,9/9/2023,0
1026633,9/9/2023,0
1026633,2/5/2024,0
1026633,5/15/2024,0
1026656,1/3/2023,7
1026656,1/3/2023,7
1026656,1/24/2023,1
1026656,1/24/2023,1
1026656,1/25/2023,1
1026656,1/25/2023,1
1026656,1/25/2023,0
1026656,1/25/2023,1
1026656,1/25/2023,1
1026656,1/25/2023,0
1026656,1/26/2023,1
1026656,1/26/2023,1
1026656,1/31/2023,1
1026656,1/31/2023,1
1026656,2/21/2023,1
1026656,2/21/2023,1
1026656,2/23/2023,1
1026656,2/23/2023,0
1026656,2/23/2023,1
1026656,3/14/2023,1
1026656,3/14/2023,1
1026656,3/15/2023,0
1026656,3/15/2023,0
1026656,3/16/2023,1
1026656,3/16/2023,1
1026656,3/17/2023,1
1026656,3/17/2023,1
1026656,3/20/2023,0
1026656,3/22/2023,0
1026656,3/28/2023,1
1026656,3/28/2023,1
1026656,3/29/2023,0
1026656,3/30/2023,1
1026656,3/30/2023,1
1026656,3/31/2023,2
1026656,3/31/2023,2
1026656,4/13/2023,1
1026656,4/13/2023,1
1026656,4/17/2023,1
1026656,4/17/2023,1
1026656,4/18/2023,0
1026656,4/18/2023,0
1026656,4/19/2023,1
1026656,4/19/2023,1
1026656,4/20/2023,1
1026656,4/20/2023,1
1026656,4/21/2023,0
1026656,4/26/2023,0
